Year,State,Data Status,Rev_Thousand Dollars,Sales_Megawatthours,Customers_Count,Price_Cents/kWh
2023,AK,Final,490072,2050667,296192,23.9
2023,AL,Final,4593824,31409652,2353273,14.63
2023,AR,Final,2251157,18373971,1459799,12.25
2023,AZ,Final,5466059,38992365,3068554,14.02
2023,CA,Final,24439806,82820898,14063972,29.51
2023,CO,Final,2859285,19999333,2517452,14.3
2023,CT,Final,3751250,12553299,1541895,29.88
2023,DC,Final,390035,2371637,312981,16.45
2023,DE,Final,775833,4931847,468355,15.73
2023,FL,Final,20651963,135805022,10222473,15.21
2023,GA,Final,7996719,58412499,4703793,13.69
2023,HI,Final,1141701,2693161,446202,42.39
2023,IA,Final,1940409,14581845,1436034,13.31
2023,ID,Final,1082537,9793265,845895,11.05
2023,IL,Final,6804072,43319747,5394657,15.71
2023,IN,Final,4741354,31739243,3018492,14.94
2023,KS,Final,1848944,13815434,1306773,13.38
2023,KY,Final,3106289,24552708,2057704,12.65
2023,LA,Final,3666444,31746570,2137198,11.55
2023,MA,Final,5733884,19365825,2886201,29.61
2023,MD,Final,4333163,26107722,2432422,16.6
2023,ME,Final,1348778,4918678,731968,27.42
2023,MI,Final,6130301,32533717,4496297,18.84
2023,MN,Final,3391941,23023275,2551573,14.73
2023,MO,Final,4397847,34964573,2906430,12.58
2023,MS,Final,2452659,18544190,1335277,13.23
2023,MT,Final,721681,5755522,549246,12.54
2023,NC,Final,7593061,58737520,4951377,12.93
2023,ND,Final,557857,5067156,395002,11.01
2023,NE,Final,1195237,10670550,893116,11.2
2023,NH,Final,1310466,4654978,647006,28.15
2023,NJ,Final,5030514,28414871,3702964,17.7
2023,NM,Final,1015785,7336277,928217,13.85
2023,NV,Final,2251643,13508820,1288497,16.67
2023,NY,Final,11147682,50113258,7384437,22.24
2023,OH,Final,7646822,49713538,5110807,15.38
2023,OK,Final,2877138,23817506,1857147,12.08
2023,OR,Final,2603098,20444544,1843684,12.73
2023,PA,Final,9472222,52327643,5516153,18.1
2023,RI,Final,809152,2995162,450190,27.02
2023,SC,Final,4228055,30898329,2518272,13.68
2023,SD,Final,646524,5245819,426545,12.32
2023,TN,Final,5041363,41350567,3106780,12.19
2023,TX,Final,24388838,168610875,12257007,14.46
2023,UT,Final,1268526,11328264,1244066,11.2
2023,VA,Final,6145511,43095838,3615935,14.26
2023,VT,Final,453095,2176314,322403,20.82
2023,WA,Final,4276679,38940142,3319834,10.98
2023,WI,Final,3749633,22218861,2813576,16.88
2023,WV,Final,1437864,10233824,864767,14.05
2023,WY,Final,337897,2947863,283727,11.46
2023,US,Final,231992666,1450025184,141282618,16.0
2022,AK,Final,473751,2050472,294371,23.1
2022,AL,Final,4690788,32923573,2329559,14.25
2022,AR,Final,2320527,19250661,1445528,12.05
2022,AZ,Final,4994758,38367633,3013393,13.02
2022,CA,Final,23136718,89542208,13942175,25.84
2022,CO,Final,2922469,20593942,2480554,14.19
2022,CT,Final,3246418,13190687,1536216,24.61
2022,DC,Final,357264,2519079,306464,14.18
2022,DE,Final,714302,5210069,461484,13.71
2022,FL,Final,18664364,134245975,10066752,13.9
2022,GA,Final,8437884,61140241,4648899,13.8
2022,HI,Final,1182559,2748479,444854,43.03
2022,IA,Final,1997146,15192859,1426154,13.15
2022,ID,Final,1033583,9963653,826326,10.37
2022,IL,Final,7274069,46479195,5376732,15.65
2022,IN,Final,4970158,34058498,2988150,14.59
2022,KS,Final,2020777,14443522,1297396,13.99
2022,KY,Final,3466096,26840186,2045250,12.91
2022,LA,Final,4067058,31444708,2128421,12.93
2022,MA,Final,5196288,20006891,2888582,25.97
2022,MD,Final,4057913,28065379,2415654,14.46
2022,ME,Final,1142540,5090874,728055,22.44
2022,MI,Final,6255971,35034971,4475314,17.86
2022,MN,Final,3336372,23418313,2523106,14.25
2022,MO,Final,4373898,37244970,2882253,11.74
2022,MS,Final,2348630,18917877,1329182,12.41
2022,MT,Final,667968,5894499,540743,11.33
2022,NC,Final,7253470,62443953,4855656,11.62
2022,ND,Final,575541,5271904,392470,10.92
2022,NE,Final,1185532,10983649,877614,10.79
2022,NH,Final,1224085,4808322,642870,25.46
2022,NJ,Final,5031557,30062192,3675567,16.74
2022,NM,Final,1008182,7282636,921109,13.84
2022,NV,Final,1971542,14306529,1270154,13.78
2022,NY,Final,11531652,52227413,7346234,22.08
2022,OH,Final,7384055,53312216,5082407,13.85
2022,OK,Final,3170141,25479144,1839084,12.44
2022,OR,Final,2367526,20725899,1826286,11.42
2022,PA,Final,8994501,56413218,5504323,15.94
2022,RI,Final,735413,3168339,448184,23.21
2022,SC,Final,4386983,32287075,2472263,13.59
2022,SD,Final,643720,5322906,419357,12.09
2022,TN,Final,5339495,43603987,3058392,12.25
2022,TX,Final,23474681,170596460,12063138,13.76
2022,UT,Final,1230161,11344265,1207875,10.84
2022,VA,Final,6233144,46717547,3583370,13.34
2022,VT,Final,435861,2186667,320847,19.93
2022,WA,Final,4079234,39775849,3273502,10.26
2022,WI,Final,3575870,22887928,2786451,15.62
2022,WV,Final,1473398,11136970,863904,13.23
2022,WY,Final,333636,3008680,281460,11.09
2022,US,Final,226989648,1509233163,139854080,15.04
2021,AK,Final,469886,2083911,292450,22.55
2021,AL,Final,4092368,31585153,2308229,12.96
2021,AR,Final,2131723,18918015,1436244,11.27
2021,AZ,Final,4655903,37130339,2953822,12.54
2021,CA,Final,20604392,90284143,13883989,22.82
