State,Year,State-level
AL,2010,
AL,2011,
AL,2012,
AL,2013,
AL,2014,
AL,2015,
AL,2016,0.002583963406727
AL,2017,0.003256203235454
AL,2018,0.00365321714243
AL,2019,0.003763615934203
AL,2020,0.003942227695435
AL,2021,0.003770277604927
AL,2022,0.003705165388231
AL,2023,0.003617022886896
AL,2024,0.00400517475356
AL,2025,0.00435288534654
AL,2026,0.004753974647887
AL,2027,0.005292258976057
AL,2028,0.006100008548151
AL,2029,0.009566100906595
AL,Cumulative Pre 2010,
AK,2012,
AK,2016,0.0
AK,2017,0.0
AK,2018,0.004911467130121
AK,2019,0.007993004500639
AK,2020,0.016252818044926
AK,2021,0.0205700190001
AK,2022,0.026204816608124
AK,2023,0.031830618878745
AK,2024,0.03797624968555
AK,2025,0.044311530747458
AK,2026,0.051332254634595
AK,2027,0.059548130207778
AK,2028,0.069312488795801
AK,2029,0.102562239907557
American Samoa,2012,
American Samoa,2015,
American Samoa,2016,
AZ,2002,
AZ,2003,
AZ,2005,
AZ,2006,
AZ,2008,
AZ,2009,
AZ,2010,
AZ,2011,
AZ,2012,
AZ,2013,
AZ,2014,
AZ,2015,
AZ,2016,0.060896875200704
AZ,2017,0.078114136890171
AZ,2018,0.092644329106919
AZ,2019,0.10361956009754
AZ,2020,0.117565733474819
AZ,2021,0.137635742086794
AZ,2022,0.162085966912875
AZ,2023,0.184600959588176
AZ,2024,0.197656500651795
AZ,2025,0.216610200036293
AZ,2026,0.241053869287653
AZ,2027,0.263938191939649
AZ,2028,0.285002291425082
AZ,2029,0.304424557965677
AZ,Cumulative Pre 2010,
AR,2009,
AR,2010,
AR,2011,
AR,2012,
AR,2013,
AR,2014,
AR,2015,
AR,2016,0.001805511417972
AR,2017,0.003769633975336
AR,2018,0.054363640842824
AR,2019,0.054860833251702
AR,2020,0.058705707317468
AR,2021,0.060025742758949
AR,2022,0.063601990425614
AR,2023,0.068056094879403
AR,2024,0.071474761781821
AR,2025,0.075140067745263
AR,2026,0.079861328477379
AR,2027,0.086469166111199
AR,2028,0.095385553342476
AR,2029,0.125751505326256
AR,Cumulative Pre 2010,
CA,1987,
CA,1988,
CA,1989,
CA,1990,
CA,2008,
CA,2009,
CA,2010,
CA,2011,
CA,2012,
CA,2013,
CA,2014,
CA,2015,
CA,2016,0.109319679531599
CA,2017,0.130062231680667
CA,2018,0.152527924198188
CA,2019,0.177910884068767
CA,2020,0.203556307389293
CA,2021,0.235785570562575
CA,2022,0.275091868953073
CA,2023,0.316370538364887
CA,2024,0.338068835872824
CA,2025,0.359275406989717
CA,2026,0.382287678162279
CA,2027,0.404248937022087
CA,2028,0.425202354701246
CA,2029,0.445089611739201
CA,Cumulative Pre 2010,
CO,2007,
CO,2008,
CO,2009,
CO,2010,
CO,2011,
CO,2012,
CO,2013,
CO,2014,
CO,2015,
CO,2016,0.030435113983446
CO,2017,0.03619014428348
CO,2018,0.043265317088425
CO,2019,0.051049083801304
CO,2020,0.06062194480096
CO,2021,0.071876440565129
CO,2022,0.084387383298689
CO,2023,0.106421152153055
CO,2024,0.119746435337691
CO,2025,0.139314750893703
CO,2026,0.162501918126505
CO,2027,0.188658198515438
CO,2028,0.217733661596442
CO,2029,0.247477225275193
CO,Cumulative Pre 2010,
CT,2010,
CT,2011,
CT,2012,
CT,2013,
CT,2014,
CT,2015,
CT,2016,0.046383096158385
CT,2017,0.062044425342525
CT,2018,0.073107844796946
CT,2019,0.089380588658451
CT,2020,0.107481298257675
CT,2021,0.113149081900856
CT,2022,0.119273567821369
CT,2023,0.124423361655943
CT,2024,0.138435558733991
CT,2025,0.159209321980886
CT,2026,0.181880914479691
CT,2027,0.205723280381304
CT,2028,0.230802829536968
CT,2029,0.256194777332939
CT,Cumulative Pre 2010,
DE,2010,
DE,2011,
DE,2012,
DE,2013,
DE,2014,
DE,2015,
DE,2016,0.017829852751281
DE,2017,0.023422666519401
DE,2018,0.02634367141737
DE,2019,0.028432501437454
DE,2020,0.030374049196819
DE,2021,0.034275725818524
DE,2022,0.040402717803849
DE,2023,0.046565272546274
DE,2024,0.051810260652292
DE,2025,0.097565898532305
DE,2026,0.180035991005438
DE,2027,0.246872269118286
DE,2028,0.304226405108533
DE,2029,0.410926349937876
DE,Cumulative Pre 2010,
FL,2008,
FL,2009,
FL,2010,
FL,2011,
FL,2012,
FL,2013,
FL,2014,
FL,2015,
FL,2016,0.003413016631169
FL,2017,0.006286697775868
FL,2018,0.007461665133715
FL,2019,0.011756463087806
FL,2020,0.017953264564916
FL,2021,0.026146247058156
FL,2022,0.037664497584128
FL,2023,0.048711529750022
FL,2024,0.056932065663469
FL,2025,0.070770672613019
FL,2026,0.088717775017794
FL,2027,0.109485529969091
FL,2028,0.133140398863233
FL,2029,0.159118980729243
FL,Cumulative Pre 2010,
GA,2010,
GA,2011,
GA,2012,
GA,2013,
GA,2014,
GA,2015,
GA,2016,0.004403138923715
GA,2017,0.006412584387273
GA,2018,0.006299454875238
GA,2019,0.007126250971169
GA,2020,0.00825451898119
GA,2021,0.008205934834142
GA,2022,0.008697212425293
GA,2023,0.009585843217966
GA,2024,0.00995083746606
GA,2025,0.010314510582111
GA,2026,0.010663280878301
GA,2027,0.011027994557726
GA,2028,0.011435737767319
GA,2029,0.013075486042956
GA,Cumulative Pre 2010,
Guam,2015,
Guam,2024,
HI,2009,
HI,2010,
HI,2011,
HI,2012,
HI,2013,
HI,2014,
HI,2015,
